current,current_error,voltage,voltage_error
0.10,0.004,1.02,0.06
0.12,0.005,1.18,0.05
0.14,0.006,1.41,0.07
0.16,0.004,1.59,0.05
0.18,0.005,1.82,0.06
0.20,0.006,1.97,0.07
0.22,0.005,2.21,0.05
0.24,0.004,2.38,0.06
0.26,0.006,2.61,0.07
0.28,0.005,2.79,0.05
0.30,0.004,3.02,0.06
0.32,0.006,3.19,0.05
0.34,0.005,3.41,0.07
0.36,0.004,3.58,0.06
0.38,0.006,3.81,0.05
0.40,0.005,4.03,0.07
0.42,0.004,4.18,0.06
0.44,0.006,4.42,0.05
0.46,0.005,4.59,0.07
0.48,0.004,4.82,0.06
0.50,0.006,5.01,0.05
0.52,0.005,5.21,0.07
0.54,0.004,5.38,0.06
0.56,0.006,5.62,0.05
0.58,0.005,5.79,0.07
0.60,0.004,6.03,0.06
0.62,0.006,6.18,0.05
0.64,0.005,6.41,0.07
0.66,0.004,6.59,0.06
0.68,0.006,6.82,0.05
0.70,0.005,7.01,0.07
0.72,0.004,7.21,0.06
0.74,0.006,7.38,0.05
0.76,0.005,7.62,0.07
0.78,0.004,7.79,0.06
0.80,0.006,8.03,0.05
0.82,0.005,8.18,0.07
0.84,0.004,8.42,0.06
0.86,0.006,8.59,0.05
0.88,0.005,8.81,0.07
0.90,0.004,9.02,0.06
0.92,0.006,9.19,0.05
0.94,0.005,9.41,0.07
0.96,0.004,9.58,0.06
0.98,0.006,9.82,0.05
1.00,0.005,10.01,0.07
1.02,0.004,10.21,0.06
1.04,0.006,10.38,0.05
1.06,0.005,10.59,0.07
1.08,0.004,10.82,0.06
